,x,y,yf
53930,53930,2095,84.10821097200656
53931,53931,2090,79.10534722992895
53932,53932,2059,48.01616689501729
53933,53933,2006,-5.160454529897874
53934,53934,1937,-74.42534549908505
53935,53935,1868,-143.7789697730396
53936,53936,1814,-198.2214815135633
53937,53937,1787,-225.75274415200934
53938,53938,1792,-221.37233974163823
53939,53939,1826,-188.07960612855032
53940,53940,1878,-136.87361661421258
53941,53941,1937,-78.75316074272814
53942,53942,1988,-28.716747542816147
53943,53943,2023,5.237459488455762
53944,53944,2043,24.111647561284705
53945,53945,2050,29.908305312576104
53946,53946,2051,29.630247145634613
53947,53947,2052,29.28051909497443
53948,53948,2055,30.86240505595326
53949,53949,2058,32.37941609270669
53950,53950,2061,33.83530012252908
53951,53951,2062,33.2340080909711
53952,53952,2061,30.579723328430024
53953,53953,2059,26.87682077170832
53954,53954,2059,25.12987879107872
53955,53955,2060,24.343631649135823
53956,53956,2062,24.522980063845644
53957,53957,2064,24.672942451139946
53958,53958,2065,23.798642947213605
53959,53959,2065,21.90530978673617
53960,53960,2065,19.998267977426732
53961,53961,2065,18.082910283879354
53962,53962,2065,16.164673331296633
53963,53963,2065,14.249008138935103
53964,53964,2066,13.341366541480781
53965,53965,2067,12.447166270082299
53966,53966,2068,11.571798805050967
53967,53967,2069,10.720626707060251
53968,53968,2070,9.898943774055452
53969,53969,2070,8.111972843128944
53970,53970,2070,6.36482123025662
53971,53971,2071,5.662463209630344
53972,53972,2071,4.009707004519153
53973,53973,2074,5.411247580189248
53974,53974,2075,4.871581270476288
53975,53975,2075,3.3950596255904077
53976,53976,2075,1.9858212819497174
53977,53977,2075,0.6477834348141265
53978,53978,2076,0.38463933689606655
53979,53979,2078,1.1998032753134291
53980,53980,2082,4.096463210563861
53981,53981,2085,6.077500954778162
53982,53982,2085,5.145552003169585
53983,53983,2084,3.3030022993655255
53984,53984,2082,0.5519273697465517
53985,53985,2082,-0.10586613987823945
53986,53986,2084,1.3311114939718243
53987,53987,2086,2.864034159992782
53988,53988,2088,4.493767336619969
53989,53989,2089,5.220839240350735
53990,53990,2089,5.045493158024179
53991,53991,2090,5.967671685697074
53992,53992,2090,5.986996769721215
53993,53993,2091,7.102804188458309
53994,53994,2092,8.314099117196468
53995,53995,2092,8.619598020254621
53996,53996,2092,9.017712825972731
53997,53997,2092,9.506573418541944
53998,53998,2091,9.084035097158505
53999,53999,2090,8.747703139501894
54000,54000,2088,7.494931791233285
54001,54001,2087,7.322818776930111
54002,54002,2085,6.228190059179919
54003,54003,2084,6.207665452502413
54004,54004,2081,4.257612929680031
54005,54005,2078,2.374236975409716
54006,54006,2073,-1.446455231695217
54007,54007,2067,-6.208633579380976
54008,54008,2061,-10.916645429032302
54009,54009,2057,-13.574983518492711
54010,54010,2053,-16.188295968948076
54011,54011,2051,-16.761273270688065
54012,54012,2049,-17.29869521076796
54013,54013,2047,-17.80537096288093
54014,54014,2044,-19.28614832243097
54015,54015,2042,-19.745949507572295
54016,54016,2040,-20.18974274507682
54017,54017,2039,-19.62250845525945
54018,54018,2039,-18.049216267901325
54019,54019,2038,-17.47482361306376
54020,54020,2037,-16.904199914441502
54021,54021,2036,-16.342173642161807
54022,54022,2037,-13.79346756900829
54023,54023,2037,-12.262719739024263
54024,54024,2038,-9.754424927440844
54025,54025,2039,-7.27295137194129
54026,54026,2039,-5.82249962647203
54027,54027,2038,-5.407040930293438
54028,54028,2037,-5.03029379949365
54029,54029,2036,-4.695786468459716
54030,54030,2036,-3.40696196807857
54031,54031,2037,-1.167293697940418
54032,54032,2037,0.019689691246883023
54033,54033,2038,2.150459055312136
54034,54034,2038,3.2216130723991316
54035,54035,2039,5.230111415639101
54036,54036,2038,5.173393722176938
54037,54037,2038,6.049517559891873
54038,54038,2037,5.857113094488376
54039,54039,2036,5.5953949596888775
54040,54040,2035,5.264034714219422
54041,54041,2036,6.863027822081964
54042,54042,2038,9.392571292098026
54043,54043,2039,10.85301027536915
54044,54044,2039,11.244682152636795
54045,54045,2039,11.567929707646968
54046,54046,2038,10.823048732654483
54047,54047,2037,10.010368224558345
54048,54048,2037,10.130373111759871
54049,54049,2037,10.18380562502971
54050,54050,2036,9.171798617454641
54051,54051,2035,8.09594438464515
54052,54052,2034,6.958303889449529
54053,54053,2034,6.761398790955229
54054,54054,2035,7.50815943691941
54055,54055,2035,7.2018232789085985
54056,54056,2036,7.845805009330067
54057,54057,2036,7.443554696636097
54058,54058,2036,6.998516387120816
54059,54059,2036,6.514123693779267
54060,54060,2035,4.993880848911126
54061,54061,2034,3.4413958637130473
54062,54062,2034,2.860408205860934
54063,54063,2034,2.2547201445520724
54064,54064,2034,1.628207790510734
54065,54065,2034,0.9848000236161321
54066,54066,2034,0.32845189651835893
54067,54067,2034,-0.3368501571576168
54068,54068,2034,-1.0071257562364622
54069,54069,2033,-2.6784006439954835
54070,54070,2033,-3.3467333796015684
54071,54071,2034,-3.008215175436899
54072,54072,2034,-3.659028209696876
54073,54073,2035,-3.295386325564496
54074,54074,2036,-2.913608779657733
54075,54075,2036,-3.510118947974866
54076,54076,2035,-5.081442644388893
54077,54077,2034,-6.624243267267917
54078,54078,2033,-8.13533503599039
54079,54079,2032,-9.61170104095905
54080,54080,2032,-10.0504893177412
54081,54081,2032,-10.449040212858154
54082,54082,2033,-9.804854368620427
54083,54083,2033,-10.115661355880672
54084,54084,2034,-9.379359433952711
54085,54085,2035,-8.594082489096817
54086,54086,2036,-7.758186187576729
54087,54087,2036,-7.870265182744068
54088,54088,2036,-7.929174772470773
54089,54089,2035,-8.934025072107858
54090,54090,2034,-9.884174154185704
54091,54091,2034,-9.779220192604287
54092,54092,2035,-8.619019354162237
54093,54093,2036,-7.403675986953558
54094,54094,2037,-6.133531744067471
54095,54095,2037,-5.809207118044238
54096,54096,2038,-4.431546051914017
54097,54097,2037,-5.001676974541077
54098,54098,2037,-4.520939562346635
54099,54099,2036,-4.99093854915866
54100,54100,2034,-6.413521931722563
54101,54101,2033,-6.790763554721186
54102,54102,2032,-7.124971478384074
54103,54103,2033,-5.418647528809267
54104,54104,2036,-1.6745047166098281
54105,54105,2041,4.104542759779346
54106,54106,2045,8.915374368303208
54107,54107,2047,11.754701490555927
54108,54108,2047,12.619063570422375
54109,54109,2046,12.5048836020919
54110,54110,2044,11.408438723076499
54111,54111,2044,12.325916631065354
